Province,City,Postal Code,Gender,Education,Salary,Marital Status,Loyalty Card,Enrollment Type,Total Points Redeemed
Quebec,Quebec City,G1B 3L5,Male,Bachelor,50847,Married,Aurora,2023 Promotion,907
Ontario,Sudbury,M5V 1G5,Female,High School or Below,62006,Married,Star,Standard,412
British Columbia,Vancouver,V6E 3D9,Female,Bachelor,67862,Divorced,Star,Standard,1664
British Columbia,Vancouver,V6E 3D9,Female,Bachelor,69835,Divorced,Star,Standard,1004
Manitoba,Winnipeg,R2C 0M5,Female,Bachelor,81276,Married,Nova,Standard,1444
Newfoundland,St. John's,A1C 6H9,Male,Bachelor,53166,Married,Aurora,Standard,753
Ontario,Trenton,K8V 4B2,Female,Bachelor,66055,Single,Nova,Standard,2071
Quebec,Hull,J8Y 3Z5,Female,Bachelor,65690,Married,Star,Standard,336
Yukon,Whitehorse,Y2K 6R0,Male,Bachelor,50013,Divorced,Star,Standard,1221
New Brunswick,Fredericton,E3B 2H2,Female,Bachelor,56411,Married,Star,Standard,1339
Quebec,Montreal,H2Y 2W2,Male,Bachelor,58623,Married,Nova,Standard,1044
British Columbia,Vancouver,V6E 3D9,Female,Bachelor,65324,Married,Aurora,Standard,1266
Quebec,Tremblant,H5Y 2S9,Female,High School or Below,80919,Single,Star,Standard,1545
British Columbia,Vancouver,V6E 3D9,Female,Bachelor,62537,Married,Star,Standard,1609
Quebec,Montreal,H2T 9K8,Female,Bachelor,73455,Divorced,Nova,Standard,930
British Columbia,Vancouver,V5R 1W3,Female,High School or Below,62209,Married,Star,Standard,343
British Columbia,Vancouver,V6E 3Z3,Female,Bachelor,69278,Married,Star,Standard,514
British Columbia,Vancouver,V1E 4R6,Female,Bachelor,76456,Married,Aurora,Standard,1262
Quebec,Montreal,H4G 3T4,Male,Bachelor,65986,Married,Nova,Standard,1915
British Columbia,West Vancouver,V6V 8Z3,Female,Bachelor,56193,Single,Star,Standard,414
British Columbia,Vancouver,V6E 3Z3,Male,Bachelor,78976,Married,Nova,Standard,1005
British Columbia,Vancouver,V5R 1W3,Male,Bachelor,74655,Married,Nova,Standard,1007
Quebec,Montreal,H2Y 4R4,Male,Bachelor,47536,Married,Nova,Standard,775
Ontario,Thunder Bay,K8T 5M5,Male,Bachelor,56759,Divorced,Nova,Standard,3969
British Columbia,Vancouver,V1E 4R6,Male,Bachelor,67059,Married,Star,Standard,1251
Ontario,Toronto,P1J 8T7,Female,Bachelor,73218,Married,Star,Standard,875
Ontario,Toronto,M8Y 4K8,Male,Bachelor,74727,Married,Aurora,Standard,1558
Nova Scotia,Halifax,B3J 9S2,Male,Bachelor,49927,Married,Star,2023 Promotion,1994
Nova Scotia,Halifax,B3C 2M8,Male,Bachelor,62063,Married,Nova,Standard,585
Quebec,Montreal,H2Y 2W2,Female,Bachelor,62259,Married,Nova,Standard,350
Alberta,Edmonton,T3G 6Y6,Female,Bachelor,64760,Married,Nova,Standard,457
Nova Scotia,Halifax,B3C 2M8,Male,Bachelor,49512,Married,Star,Standard,1631
Ontario,Toronto,P1J 8T7,Male,Doctor,58178,Divorced,Nova,Standard,423
Ontario,Toronto,M2M 6J7,Male,Bachelor,81518,Divorced,Star,Standard,770
British Columbia,Whistler,V6T 1Y8,Female,Bachelor,78830,Married,Star,Standard,2398
British Columbia,Vancouver,V6E 3D9,Male,Bachelor,58894,Married,Nova,Standard,447
British Columbia,Vancouver,V1E 4R6,Female,Bachelor,70946,Married,Aurora,Standard,1172
Manitoba,Winnipeg,R2C 0M5,Female,Bachelor,65997,Divorced,Aurora,Standard,466
Nova Scotia,Halifax,B3C 2M8,Male,Bachelor,74522,Divorced,Star,Standard,982
Ontario,Thunder Bay,K8T 5M5,Male,Bachelor,64588,Single,Star,Standard,910
New Brunswick,Fredericton,E3B 2H2,Female,Bachelor,51591,Married,Nova,Standard,531
Nova Scotia,Halifax,B3J 9S2,Male,High School or Below,73479,Married,Aurora,Standard,320
Ontario,Toronto,M2M 7K8,Female,Bachelor,63970,Married,Nova,Standard,370
Newfoundland,St. John's,A1C 6H9,Female,Bachelor,64417,Single,Nova,Standard,526
Ontario,Toronto,M1R 4K3,Female,Bachelor,70254,Married,Nova,Standard,1219
British Columbia,Vancouver,V6E 3D9,Female,Bachelor,19464,Married,Star,2023 Promotion,433
Manitoba,Winnipeg,R3R 3T4,Male,Bachelor,47021,Single,Star,Standard,1516
Quebec,Montreal,H4G 3T4,Male,Bachelor,73602,Married,Nova,Standard,525
British Columbia,West Vancouver,V6V 8Z3,Male,Bachelor,51476,Married,Star,Standard,569
Ontario,Toronto,P5S 6R4,Female,Bachelor,77542,Married,Star,Standard,524
Quebec,Quebec City,G1B 3L5,Female,Bachelor,64046,Married,Aurora,Standard,1564
New Brunswick,Fredericton,E3B 2H2,Male,Bachelor,74770,Married,Star,2018 Promotion,1944
Alberta,Edmonton,T3G 6Y6,Male,Bachelor,48636,Married,Aurora,Standard,570
Quebec,Montreal,H2T 9K8,Male,Bachelor,80927,Married,Star,Standard,528
Ontario,Toronto,P2T 6G3,Female,Bachelor,64546,Married,Nova,Standard,1286
British Columbia,Whistler,V6T 1Y8,Female,Bachelor,62259,Married,Nova,Standard,1060
Ontario,Toronto,M2M 7K8,Female,Bachelor,78617,Married,Star,Standard,1062
Ontario,Sudbury,M5V 1G5,Female,Bachelor,63103,Married,Star,Standard,613
British Columbia,Whistler,V6T 1Y8,Male,Bachelor,77083,Married,Nova,Standard,424
Ontario,Toronto,M2M 6J7,Female,Bachelor,80194,Married,Nova,Standard,1028
Ontario,Trenton,K8V 4B2,Female,Bachelor,56594,Single,Nova,Standard,1994
Ontario,Thunder Bay,K8T 5M5,Female,Bachelor,50434,Married,Nova,Standard,463
British Columbia,Vancouver,V6E 3Z3,Female,Bachelor,68157,Single,Nova,Standard,1034
Ontario,Toronto,P1L 8X8,Male,Bachelor,75663,Married,Aurora,Standard,426
Newfoundland,St. John's,A1C 6H9,Male,Master,82940,Married,Star,Standard,601
Quebec,Quebec City,G1B 3L5,Male,Bachelor,64417,Single,Nova,2023 Promotion,681
Ontario,Trenton,K8V 4B2,Male,Bachelor,59926,Married,Star,2023 Promotion,815
Quebec,Montreal,H2Y 4R4,Female,Bachelor,60648,Divorced,Star,Standard,2289
British Columbia,West Vancouver,V6V 8Z3,Female,High School or Below,68180,Married,Nova,Standard,1758
Quebec,Montreal,H2T 2J6,Male,Bachelor,60295,Married,Nova,Standard,3397
British Columbia,Victoria,V10 6T5,Male,Bachelor,76652,Married,Aurora,Standard,417
Quebec,Montreal,H2T 9K8,Female,Bachelor,74470,Married,Star,Standard,593
Nova Scotia,Halifax,B3J 9S2,Female,Bachelor,79207,Divorced,Nova,Standard,888
British Columbia,Vancouver,V6E 3Z3,Male,Bachelor,50800,Divorced,Nova,Standard,1032
British Columbia,Vancouver,V6E 3D9,Male,Bachelor,55173,Divorced,Star,Standard,554
Ontario,Toronto,M1R 4K3,Male,Master,72027,Single,Star,Standard,1670
British Columbia,Vancouver,V6E 3Z3,Male,Bachelor,59622,Single,Star,Standard,996
Manitoba,Winnipeg,R2C 0M5,Male,Bachelor,54851,Married,Nova,Standard,1064
Ontario,Sudbury,M5V 1G5,Male,Bachelor,73796,Single,Aurora,Standard,432
Quebec,Tremblant,H5Y 2S9,Male,Bachelor,74882,Married,Star,Standard,463
Ontario,Toronto,P1J 8T7,Male,Bachelor,52428,Married,Aurora,Standard,1228
Newfoundland,St. John's,A1C 6H9,Female,Bachelor,63015,Married,Aurora,Standard,1112
New Brunswick,Moncton,E1A 2A7,Male,High School or Below,65871,Divorced,Star,Standard,2067
Ontario,Sudbury,M5V 1G5,Female,Bachelor,74027,Married,Nova,Standard,1738
British Columbia,Vancouver,V6E 3Z3,Female,Bachelor,65885,Married,Nova,Standard,1742
Ontario,Toronto,M2P 4F6,Female,Bachelor,64701,Married,Aurora,Standard,1022
British Columbia,Vancouver,V6E 3D9,Male,Bachelor,64042,Divorced,Nova,Standard,2262
Ontario,Toronto,M2M 7K8,Male,Bachelor,47030,Married,Nova,Standard,512
Nova Scotia,Halifax,B3J 9S2,Male,Bachelor,54550,Divorced,Nova,Standard,452
Quebec,Hull,J8Y 3Z5,Female,Bachelor,58711,Divorced,Star,Standard,1517
Quebec,Montreal,H4G 3T4,Female,Bachelor,64141,Married,Aurora,Standard,849
Ontario,Toronto,M2M 7K8,Female,Bachelor,48636,Married,Aurora,Standard,1424
Quebec,Montreal,H2T 2J6,Female,Bachelor,75990,Married,Nova,Standard,704
Saskatchewan,Regina,S1J 3C5,Female,Bachelor,59537,Married,Nova,Standard,2561
Quebec,Montreal,H4G 3T4,Male,Bachelor,77701,Married,Aurora,Standard,1270
British Columbia,Vancouver,V1E 4R6,Male,Bachelor,48421,Married,Aurora,Standard,1275
British Columbia,Victoria,V10 6T5,Male,Bachelor,33784,Married,Star,2023 Promotion,945
Alberta,Edmonton,T9G 1W3,Male,Bachelor,62527,Married,Nova,2023 Promotion,1287
British Columbia,Vancouver,V6E 3D9,Female,Bachelor,78248,Divorced,Nova,Standard,544
Saskatchewan,Regina,S1J 3C5,Female,Bachelor,75318,Divorced,Star,Standard,692
British Columbia,Vancouver,V6E 3D9,Male,Bachelor,62681,Married,Nova,Standard,447
Manitoba,Winnipeg,R2C 0M5,Female,High School or Below,73861,Married,Nova,2023 Promotion,402
British Columbia,Whistler,V6T 1Y8,Female,High School or Below,58431,Married,Star,Standard,2114
Quebec,Hull,J8Y 3Z5,Male,Bachelor,67210,Married,Aurora,Standard,1315
Ontario,Toronto,M2M 7K8,Female,Bachelor,66470,Married,Star,2018 Promotion,755
Ontario,Sudbury,M5V 1G5,Female,High School or Below,65565,Married,Star,Standard,994
Ontario,Toronto,P1W 1K4,Male,Bachelor,78573,Divorced,Star,Standard,565
British Columbia,Vancouver,V6E 3D9,Male,Bachelor,67497,Married,Nova,Standard,607
British Columbia,Whistler,V6T 1Y8,Female,Bachelor,61334,Divorced,Nova,Standard,1001
British Columbia,Vancouver,V5R 1W3,Male,Bachelor,72072,Married,Star,2018 Promotion,742
Quebec,Tremblant,H5Y 2S9,Male,Bachelor,52545,Married,Nova,Standard,998
Manitoba,Winnipeg,R2C 0M5,Male,Bachelor,68601,Married,Star,Standard,940
Ontario,Ottawa,K1F 2R2,Male,Bachelor,63871,Married,Nova,Standard,553
Quebec,Montreal,H3T 8L4,Female,Bachelor,78830,Married,Star,Standard,1681
Ontario,Trenton,K8V 4B2,Female,Bachelor,60917,Married,Nova,Standard,1473
British Columbia,Dawson Creek,U5I 4F1,Female,Bachelor,47595,Married,Nova,Standard,1001
Quebec,Montreal,H2T 2J6,Male,Bachelor,48333,Married,Aurora,Standard,1476
New Brunswick,Fredericton,E3B 2H2,Male,Bachelor,61984,Married,Nova,Standard,2117
Quebec,Montreal,H3T 8L4,Female,Bachelor,78672,Married,Nova,Standard,492
British Columbia,Vancouver,V5R 1W3,Male,Bachelor,29528,Married,Aurora,2023 Promotion,1000
Manitoba,Winnipeg,R2C 0M5,Female,High School or Below,64811,Married,Nova,Standard,922
Ontario,Toronto,P2T 6G3,Female,Bachelor,61850,Married,Star,Standard,1802
Ontario,Toronto,P1J 8T7,Female,Bachelor,54104,Married,Star,Standard,428
Ontario,Ottawa,K1F 2R2,Male,Bachelor,53269,Single,Star,Standard,1102
New Brunswick,Fredericton,E3B 2H2,Female,Bachelor,47424,Married,Nova,Standard,1052
Manitoba,Winnipeg,R6Y 4T5,Male,Bachelor,67475,Divorced,Star,Standard,1085
Nova Scotia,Halifax,B3J 9S2,Female,Bachelor,21249,Married,Star,2023 Promotion,485
Newfoundland,St. John's,A1C 6H9,Female,Bachelor,76248,Married,Nova,Standard,1087
Ontario,Toronto,P1J 8T7,Male,Bachelor,79106,Married,Aurora,Standard,1082
Ontario,Toronto,M2Z 4K1,Female,Bachelor,48464,Married,Star,Standard,1110
Ontario,Trenton,K8V 4B2,Female,Bachelor,70787,Single,Aurora,Standard,594
British Columbia,Vancouver,V6E 3D9,Female,Bachelor,77198,Divorced,Nova,Standard,651
British Columbia,Vancouver,V6E 3D9,Female,Bachelor,67697,Single,Star,Standard,772
British Columbia,Vancouver,V6E 3Z3,Female,High School or Below,57020,Married,Star,Standard,995
Ontario,Trenton,K8V 4B2,Female,Bachelor,61253,Divorced,Star,Standard,1975
Ontario,Ottawa,K1F 2R2,Female,Bachelor,77116,Married,Nova,Standard,708
Ontario,Kingston,M9K 2P4,Female,Bachelor,47802,Single,Star,Standard,473
Ontario,Toronto,M2M 7K8,Female,Bachelor,62393,Divorced,Star,Standard,521
British Columbia,Vancouver,V6E 3Z3,Female,Bachelor,62748,Married,Aurora,Standard,504
Saskatchewan,Regina,S6J 3G0,Male,Bachelor,55271,Married,Nova,2023 Promotion,419
Quebec,Montreal,H2T 2J6,Female,Bachelor,46607,Married,Nova,Standard,2074
Manitoba,Winnipeg,R2C 0M5,Male,Master,81333,Single,Nova,Standard,1396
British Columbia,Vancouver,V1E 4R6,Male,High School or Below,72896,Divorced,Star,Standard,1184
Quebec,Montreal,H2T 9K8,Male,Bachelor,67223,Married,Star,Standard,857
Nova Scotia,Halifax,B3J 9S2,Male,High School or Below,27588,Single,Star,2023 Promotion,468
Ontario,Toronto,P5S 6R4,Male,Bachelor,54139,Divorced,Nova,Standard,1958
New Brunswick,Fredericton,E3B 2H2,Female,High School or Below,79644,Divorced,Nova,Standard,539
Alberta,Calgary,T3E 2V9,Male,Bachelor,81816,Married,Nova,Standard,739
Quebec,Montreal,H2Y 2W2,Female,Bachelor,78830,Married,Star,Standard,2054
Ontario,Toronto,M2M 7K8,Female,Bachelor,66856,Married,Aurora,Standard,1404
Quebec,Montreal,H2T 9K8,Female,High School or Below,39426,Married,Star,Standard,1552
Ontario,Toronto,P1W 1K4,Female,Bachelor,76958,Married,Star,Standard,926
Quebec,Quebec City,G1B 3L5,Female,High School or Below,58210,Married,Aurora,Standard,901
British Columbia,Vancouver,V6E 3D9,Female,Bachelor,78483,Single,Nova,Standard,2360
Ontario,Toronto,P2T 6G3,Male,Bachelor,63348,Married,Star,Standard,872
Quebec,Montreal,H2T 9K8,Female,Bachelor,46896,Married,Star,Standard,837
Ontario,Toronto,M2M 7K8,Female,Bachelor,61968,Married,Nova,Standard,585
Ontario,Thunder Bay,K8T 5M5,Female,Bachelor,68279,Married,Aurora,Standard,374
Quebec,Montreal,H4G 3T4,Male,Bachelor,54871,Married,Star,Standard,1037
British Columbia,West Vancouver,V6V 8Z3,Male,Bachelor,57150,Single,Aurora,Standard,1289
Alberta,Edmonton,T9G 1W3,Male,Bachelor,65620,Single,Nova,Standard,1103
Nova Scotia,Halifax,B3J 9S2,Female,Bachelor,69805,Married,Nova,Standard,447
Quebec,Quebec City,G1B 3L5,Male,Bachelor,48521,Divorced,Star,2023 Promotion,2723
Ontario,Toronto,M8Y 4K8,Female,Bachelor,63025,Divorced,Star,Standard,466
Quebec,Montreal,H2Y 4R4,Female,Bachelor,77615,Married,Star,Standard,1703
Ontario,Toronto,M1R 4K3,Male,Bachelor,66023,Divorced,Nova,Standard,617
Quebec,Montreal,H2Y 2W2,Male,Bachelor,46781,Married,Star,Standard,1434
Nova Scotia,Halifax,B3C 2M8,Female,Bachelor,73219,Single,Star,Standard,1883
Ontario,Toronto,M2M 6J7,Male,Bachelor,74587,Married,Star,Standard,1775
British Columbia,Vancouver,V6E 3D9,Female,Bachelor,78745,Single,Star,Standard,1402
Quebec,Tremblant,H5Y 2S9,Female,Bachelor,71101,Married,Star,Standard,1266
British Columbia,Dawson Creek,U5I 4F1,Female,Bachelor,49618,Married,Star,Standard,1599
Quebec,Tremblant,H5Y 2S9,Male,High School or Below,76905,Married,Nova,Standard,2082
British Columbia,West Vancouver,V6V 8Z3,Female,High School or Below,74375,Married,Star,Standard,1979
Quebec,Tremblant,H5Y 2S9,Female,Bachelor,77192,Divorced,Aurora,Standard,931
Quebec,Montreal,H4G 3T4,Male,Bachelor,72506,Single,Aurora,Standard,719
British Columbia,Vancouver,V1E 4R6,Female,Bachelor,72656,Divorced,Nova,Standard,501
Quebec,Montreal,H2T 9K8,Female,Bachelor,72936,Divorced,Nova,Standard,320
British Columbia,West Vancouver,V6V 8Z3,Male,Bachelor,59691,Married,Star,Standard,2230
Ontario,Ottawa,K1G 4Z0,Female,Bachelor,76517,Married,Nova,Standard,542
Nova Scotia,Halifax,B3J 9S2,Female,Bachelor,70285,Single,Aurora,Standard,932
Quebec,Quebec City,G1B 3L5,Female,Bachelor,76622,Divorced,Nova,2023 Promotion,434
British Columbia,West Vancouver,V6V 8Z3,Female,Bachelor,57150,Single,Nova,2023 Promotion,502
Quebec,Montreal,H4G 3T4,Female,Bachelor,76256,Married,Nova,Standard,367
