Loyalty Number;Country;Province;City;Postal Code;Gender;Education;Salary;Marital Status;Loyalty Card;Enrollment Type;Enrollment Year;Enrollment Month
104586;Canada;Ontario;Ottawa;K1F 2R2;Male;Bachelor;86609;Divorced;Aurora;Standard;2021;12
104673;Canada;Ontario;Sudbury;M5V 1G5;Male;Bachelor;60006;Married;Aurora;Standard;2017;10
104732;Canada;British Columbia;Vancouver;V5R 1W3;Female;Bachelor;50930;Married;Nova;Standard;2021;1
104739;Canada;Quebec;Montreal;H2T 9K8;Female;High School or Below;65565;Married;Nova;Standard;2018;11
104849;Canada;Ontario;Ottawa;K1F 2R2;Female;Bachelor;63326;Married;Nova;Standard;2019;3
104960;Canada;Newfoundland;St. John's;A1C 6H9;Male;Bachelor;90265;Married;Star;Standard;2017;6
105063;Canada;Quebec;Montreal;H4G 3T4;Male;Doctor;236405;Divorced;Star;2023 Promotion;2023;3
105073;Canada;Ontario;Toronto;M2M 6J7;Male;College;0;Single;Aurora;2023 Promotion;2023;3
105074;Canada;Ontario;Toronto;M1R 4K3;Male;Bachelor;79727;Married;Nova;Standard;2019;10
105145;Canada;Ontario;Toronto;M8Y 4K8;Male;College;0;Single;Star;Standard;2017;7
105193;Canada;New Brunswick;Fredericton;E3B 2H2;Female;Bachelor;92396;Married;Nova;Standard;2023;6
105214;Canada;British Columbia;Whistler;V6T 1Y8;Male;Bachelor;88863;Divorced;Star;Standard;2018;8
471706;Canada;Ontario;Trenton;K8V 4B2;Female;Bachelor;76622;Divorced;Nova;Standard;2023;11
105352;Canada;British Columbia;Vancouver;V6E 3D9;Female;College;0;Single;Star;Standard;2019;1
105552;Canada;Prince Edward Island;Charlottetown;C1A 6E8;Male;Bachelor;77935;Married;Nova;Standard;2020;11
105688;Canada;British Columbia;Vancouver;V1E 4R6;Female;College;0;Married;Aurora;Standard;2019;6
105700;Canada;British Columbia;Vancouver;V5R 1W3;Female;College;0;Single;Nova;Standard;2018;8
105712;Canada;Ontario;Toronto;M2M 7K8;Female;College;0;Married;Nova;Standard;2020;8
105789;Canada;Saskatchewan;Regina;S1J 3C5;Female;College;0;Single;Nova;Standard;2017;6
105835;Canada;Ontario;Toronto;M8Y 4K8;Male;Bachelor;41085;Married;Star;2023 Promotion;2023;4
105841;Canada;British Columbia;Whistler;V6T 1Y8;Male;Bachelor;55130;Married;Star;2023 Promotion;2023;3
105921;Canada;Quebec;Hull;J8Y 3Z5;Female;Bachelor;77255;Married;Star;Standard;2017;9
105932;Canada;Newfoundland;St. John's;A1C 6H9;Male;Bachelor;62977;Married;Star;Standard;2021;7
105992;Canada;Ontario;Kingston;M9K 2P4;Female;Bachelor;75700;Married;Nova;Standard;2021;12
106001;Canada;Quebec;Montreal;H2Y 4R4;Female;High School or Below;39000;Single;Star;Standard;2018;1
106037;Canada;British Columbia;Victoria;V10 6T5;Male;Bachelor;94980;Married;Nova;Standard;2018;3
106038;Canada;British Columbia;Vancouver;V6E 3D9;Female;Bachelor;47889;Married;Star;Standard;2021;9
106046;Canada;Quebec;Montreal;H2T 9K8;Male;Bachelor;16628;Single;Star;2023 Promotion;2023;4
106048;Canada;British Columbia;Victoria;V10 6T5;Male;Doctor;70755;Divorced;Star;Standard;2023;11
107119;Canada;Ontario;Ottawa;K1F 2R2;Female;Bachelor;92398;Single;Nova;Standard;2018;4
106397;Canada;British Columbia;Vancouver;V6E 3D9;Male;College;0;Married;Aurora;Standard;2017;5
106444;Canada;British Columbia;Vancouver;V5R 1W3;Male;College;0;Divorced;Aurora;Standard;2022;12
106477;Canada;British Columbia;Victoria;V10 6T5;Male;Bachelor;52935;Divorced;Star;Standard;2019;2
106589;Canada;British Columbia;Vancouver;V5R 1W3;Male;High School or Below;71630;Married;Star;Standard;2018;8
106592;Canada;Alberta;Banff;T4V 1D4;Male;Doctor;298661;Married;Nova;Standard;2021;6
106616;Canada;Quebec;Montreal;H2T 2J6;Male;Bachelor;53879;Married;Star;Standard;2023;7
106623;Canada;British Columbia;Victoria;V10 6T5;Male;Bachelor;77314;Married;Nova;Standard;2023;9
106637;Canada;Quebec;Quebec City;G1B 3L5;Male;Bachelor;86121;Married;Star;Standard;2019;4
106689;Canada;Ontario;Toronto;P1W 1K4;Female;Bachelor;61554;Married;Nova;Standard;2022;6
516133;Canada;British Columbia;Vancouver;V1E 4R6;Female;Bachelor;77959;Married;Aurora;Standard;2019;1
106757;Canada;Alberta;Edmonton;T9G 1W3;Male;College;0;Married;Aurora;Standard;2020;6
106776;Canada;Nova Scotia;Halifax;B3J 9S2;Male;Bachelor;50611;Married;Star;Standard;2017;12
106838;Canada;British Columbia;Vancouver;V6E 3Z3;Male;Bachelor;58674;Married;Aurora;Standard;2021;10
106839;Canada;Ontario;London;M5B 3E4;Male;Bachelor;63081;Married;Nova;Standard;2019;7
106936;Canada;Ontario;Kingston;M9K 2P4;Female;Bachelor;67299;Married;Nova;Standard;2017;11
444931;Canada;Manitoba;Winnipeg;R2C 0M5;Female;Doctor;144697;Married;Aurora;Standard;2020;1
106964;Canada;New Brunswick;Moncton;E1A 2A7;Female;College;0;Single;Star;Standard;2023;8
106978;Canada;Quebec;Montreal;H2Y 4R4;Female;Bachelor;81959;Divorced;Nova;Standard;2017;12
106979;Canada;Quebec;Montreal;H4G 3T4;Male;Bachelor;86727;Single;Star;Standard;2017;6
107037;Canada;British Columbia;Dawson Creek;U5I 4F1;Female;Bachelor;62780;Married;Aurora;Standard;2022;5
107067;Canada;Quebec;Montreal;H3T 8L4;Female;Bachelor;100598;Married;Star;Standard;2021;3
107141;Canada;Manitoba;Winnipeg;R2C 0M5;Male;College;0;Married;Star;Standard;2018;8
107203;Canada;British Columbia;Vancouver;V5R 1W3;Female;Master;94014;Divorced;Star;Standard;2021;3
107212;Canada;British Columbia;Vancouver;V6E 3D9;Female;Doctor;240146;Married;Star;Standard;2018;2
107296;Canada;Quebec;Montreal;H2Y 4R4;Male;Bachelor;74457;Married;Aurora;Standard;2022;7
107385;Canada;British Columbia;Vancouver;V6E 3D9;Female;Bachelor;87890;Divorced;Star;Standard;2022;11
107461;Canada;British Columbia;Vancouver;V6E 3D9;Male;College;0;Married;Star;Standard;2020;2
107466;Canada;New Brunswick;Moncton;E1A 2A7;Female;Bachelor;66901;Married;Nova;Standard;2022;1
107487;Canada;Quebec;Montreal;H2T 2J6;Male;Master;105487;Divorced;Nova;Standard;2022;4
107571;Canada;British Columbia;Vancouver;V6E 3Z3;Male;College;0;Single;Aurora;Standard;2022;3
107649;Canada;Alberta;Calgary;T3E 2V9;Male;Bachelor;94733;Married;Aurora;Standard;2017;5
107719;Canada;British Columbia;Kelowna;V09 2E9;Male;College;0;Single;Star;Standard;2017;7
107730;Canada;Newfoundland;St. John's;A1C 6H9;Female;Bachelor;52961;Single;Aurora;Standard;2022;12
107835;Canada;Ontario;Toronto;P1J 8T7;Female;Doctor;50363;Single;Star;Standard;2023;9
107902;Canada;British Columbia;Vancouver;V6E 3D9;Female;Bachelor;103122;Single;Nova;Standard;2020;4
107993;Canada;Ontario;Toronto;P5S 6R4;Female;Bachelor;52414;Married;Aurora;Standard;2021;6
108264;Canada;Saskatchewan;Regina;S6J 3G0;Female;Bachelor;60970;Married;Star;Standard;2018;1
409051;Canada;Ontario;Toronto;P1L 8X8;Male;College;0;Single;Aurora;Standard;2019;2
572345;Canada;Quebec;Quebec City;G1B 3L5;Male;Bachelor;74474;Married;Nova;Standard;2018;12
108440;Canada;Ontario;London;M5B 3E4;Male;Bachelor;100884;Married;Star;Standard;2018;5
108462;Canada;Quebec;Quebec City;G1B 3L5;Female;Bachelor;64014;Married;Star;Standard;2021;6
108481;Canada;Quebec;Montreal;H2Y 2W2;Female;Bachelor;60934;Married;Aurora;Standard;2023;11
108528;Canada;Ontario;Toronto;M2M 7K8;Female;Bachelor;53081;Divorced;Star;Standard;2019;5
108625;Canada;British Columbia;West Vancouver;V6V 8Z3;Male;Bachelor;81729;Married;Nova;Standard;2021;4
108666;Canada;British Columbia;Vancouver;V5R 1W3;Female;Bachelor;64417;Single;Aurora;Standard;2020;10
108907;Canada;British Columbia;Victoria;V10 6T5;Male;College;0;Single;Star;Standard;2021;8
109022;Canada;Ontario;Toronto;P5S 6R4;Female;Bachelor;57960;Married;Nova;Standard;2018;3
245419;Canada;British Columbia;Whistler;V6T 1Y8;Female;College;0;Single;Nova;Standard;2018;10
109029;Canada;Manitoba;Winnipeg;R2C 0M5;Male;Bachelor;74819;Divorced;Star;Standard;2023;10
109203;Canada;Manitoba;Winnipeg;R6Y 4T5;Male;Bachelor;69098;Married;Star;Standard;2019;10
109399;Canada;Alberta;Calgary;T3E 2V9;Male;College;0;Married;Nova;Standard;2023;12
109478;Canada;Ontario;Toronto;M8Y 4K8;Male;Bachelor;84346;Married;Star;Standard;2019;7
109495;Canada;Quebec;Montreal;H2T 2J6;Female;Bachelor;82594;Married;Nova;Standard;2019;1
109517;Canada;Ontario;Toronto;P5S 6R4;Female;College;0;Divorced;Nova;Standard;2020;5
109552;Canada;Ontario;Toronto;P2T 6G3;Male;Bachelor;81364;Divorced;Nova;Standard;2020;12
109660;Canada;Alberta;Edmonton;T3G 6Y6;Male;Bachelor;58026;Married;Nova;Standard;2021;2
109767;Canada;Ontario;Toronto;M1R 4K3;Female;Bachelor;89062;Single;Star;Standard;2021;5
109840;Canada;Quebec;Tremblant;H5Y 2S9;Male;Bachelor;80921;Married;Star;Standard;2021;9
109896;Canada;Manitoba;Winnipeg;R2C 0M5;Female;College;0;Single;Star;Standard;2018;10
109903;Canada;Saskatchewan;Regina;S6J 3G0;Female;Bachelor;57975;Married;Star;Standard;2018;10
110001;Canada;Manitoba;Winnipeg;R2C 0M5;Male;Bachelor;81771;Married;Nova;Standard;2023;12
110065;Canada;British Columbia;Victoria;V10 6T5;Male;Bachelor;82365;Single;Aurora;2023 Promotion;2023;3
110073;Canada;Ontario;Trenton;K8V 4B2;Male;Bachelor;84678;Married;Aurora;Standard;2020;2
110099;Canada;Yukon;Whitehorse;Y2K 6R0;Female;College;0;Single;Star;Standard;2018;1
110170;Canada;British Columbia;Vancouver;V5R 1W3;Male;Bachelor;53189;Divorced;Nova;Standard;2023;5
110262;Canada;Alberta;Edmonton;T9G 1W3;Male;Bachelor;52267;Married;Aurora;2023 Promotion;2023;2
110296;Canada;Quebec;Montreal;H4G 3T4;Male;College;0;Married;Star;Standard;2018;11
110394;Canada;Manitoba;Winnipeg;R2C 0M5;Male;Bachelor;81901;Single;Star;Standard;2018;10
110422;Canada;Nova Scotia;Halifax;B3J 9S2;Male;College;0;Single;Star;Standard;2023;1
110476;Canada;Ontario;Toronto;P1J 8T7;Male;Bachelor;86244;Married;Star;Standard;2019;3
110678;Canada;Ontario;Toronto;M2Z 4K1;Female;Bachelor;50879;Single;Star;Standard;2021;6
110691;Canada;British Columbia;Vancouver;V5R 1W3;Male;College;0;Single;Star;Standard;2020;5
110752;Canada;Quebec;Tremblant;H5Y 2S9;Male;Bachelor;72625;Divorced;Star;Standard;2017;8
111022;Canada;Manitoba;Winnipeg;R2C 0M5;Female;College;0;Divorced;Nova;Standard;2018;2
523897;Canada;Quebec;Quebec City;G1B 3L5;Female;Bachelor;73945;Single;Nova;Standard;2018;6
111171;Canada;British Columbia;Whistler;V6T 1Y8;Female;College;0;Single;Star;Standard;2020;2
111176;Canada;British Columbia;Dawson Creek;U5I 4F1;Female;College;0;Single;Nova;Standard;2019;6
111255;Canada;Quebec;Hull;J8Y 3Z5;Male;High School or Below;70272;Married;Star;Standard;2018;3
111286;Canada;British Columbia;Victoria;V10 6T5;Female;Bachelor;55923;Married;Nova;Standard;2018;7
111329;Canada;Quebec;Montreal;H2T 9K8;Female;Bachelor;50748;Married;Nova;Standard;2021;8
111387;Canada;Quebec;Montreal;H2T 9K8;Female;Bachelor;101960;Married;Star;Standard;2018;10
111485;Canada;Ontario;Toronto;P5S 6R4;Female;Bachelor;90349;Divorced;Star;Standard;2020;5
111507;Canada;Quebec;Montreal;H2Y 4R4;Female;Bachelor;58405;Married;Star;Standard;2017;10
111573;Canada;Ontario;Toronto;M2Z 4K1;Male;Bachelor;85487;Married;Aurora;Standard;2019;5
111584;Canada;Ontario;Toronto;M8Y 4K8;Female;Doctor;68273;Divorced;Nova;Standard;2022;1
111788;Canada;British Columbia;Vancouver;V6E 3Z3;Female;Bachelor;53537;Married;Nova;Standard;2021;9
111912;Canada;Ontario;Toronto;P1J 8T7;Male;Bachelor;77443;Divorced;Aurora;Standard;2021;6
112026;Canada;British Columbia;Whistler;V6T 1Y8;Male;Doctor;185468;Divorced;Aurora;Standard;2019;1
112142;Canada;Ontario;Thunder Bay;K8T 5M5;Male;Bachelor;93073;Single;Aurora;Standard;2020;7
112226;Canada;British Columbia;Vancouver;V5R 1W3;Male;Bachelor;74413;Married;Nova;Standard;2019;1
112393;Canada;Ontario;Trenton;K8V 4B2;Female;College;0;Single;Star;Standard;2019;2
112632;Canada;Quebec;Montreal;H2T 2J6;Male;College;0;Married;Nova;Standard;2023;12
112678;Canada;Ontario;Toronto;M2M 6J7;Male;College;0;Married;Star;Standard;2019;10
112709;Canada;New Brunswick;Fredericton;E3B 2H2;Female;Doctor;68387;Married;Nova;Standard;2021;9
112732;Canada;New Brunswick;Fredericton;E3B 2H2;Female;Bachelor;67412;Married;Nova;Standard;2021;7
112733;Canada;British Columbia;West Vancouver;V6V 8Z3;Female;Bachelor;78298;Married;Nova;Standard;2018;1
112797;Canada;Quebec;Montreal;H2T 9K8;Female;Bachelor;90649;Married;Star;Standard;2019;7
112842;Canada;Ontario;Kingston;M9K 2P4;Male;College;0;Married;Nova;Standard;2021;11
112856;Canada;British Columbia;Vancouver;V6E 3D9;Male;Bachelor;46795;Married;Nova;Standard;2019;6
112863;Canada;British Columbia;Vancouver;V5R 1W3;Female;Bachelor;78218;Married;Aurora;Standard;2021;7
112894;Canada;Ontario;Toronto;M2M 7K8;Male;College;0;Married;Aurora;Standard;2023;12
113040;Canada;British Columbia;Vancouver;V5R 1W3;Female;Bachelor;65935;Divorced;Nova;Standard;2018;1
113184;Canada;Ontario;Trenton;K8V 4B2;Male;Bachelor;104262;Single;Star;Standard;2023;8
113220;Canada;British Columbia;Vancouver;V5R 1W3;Male;Bachelor;86215;Married;Star;Standard;2017;12
113293;Canada;Quebec;Quebec City;G1B 3L5;Female;Bachelor;68245;Divorced;Star;Standard;2022;11
113363;Canada;New Brunswick;Moncton;E1A 2A7;Female;Bachelor;57311;Married;Nova;Standard;2022;9
113442;Canada;New Brunswick;Moncton;E1A 2A7;Male;Bachelor;84453;Divorced;Star;Standard;2023;9
113476;Canada;Newfoundland;St. John's;A1C 6H9;Female;Bachelor;66334;Married;Aurora;Standard;2018;5
113529;Canada;Ontario;Toronto;P1L 8X8;Male;Bachelor;76548;Married;Nova;Standard;2023;6
113558;Canada;Quebec;Montreal;H2T 2J6;Female;Bachelor;66116;Married;Aurora;Standard;2020;7
101709;Canada;New Brunswick;Fredericton;E3B 2H2;Female;Bachelor;66733;Single;Aurora;Standard;2020;9
113656;Canada;Quebec;Quebec City;G1B 3L5;Male;Bachelor;52213;Married;Aurora;Standard;2018;4
184151;Canada;Quebec;Montreal;H2Y 4R4;Male;Bachelor;103862;Married;Star;Standard;2022;5
113694;Canada;Saskatchewan;Regina;S6J 3G0;Female;College;0;Divorced;Nova;Standard;2019;9
113755;Canada;British Columbia;Kelowna;V09 2E9;Female;Bachelor;63616;Married;Star;Standard;2018;3
113779;Canada;Quebec;Tremblant;H5Y 2S9;Male;Doctor;233002;Married;Aurora;Standard;2019;3
113804;Canada;Quebec;Montreal;H2T 2J6;Female;College;0;Married;Star;Standard;2021;11
113831;Canada;Ontario;Toronto;M2M 6J7;Male;Bachelor;47701;Married;Nova;Standard;2021;2
113839;Canada;Ontario;Toronto;M2M 7K8;Male;College;0;Divorced;Star;Standard;2020;9
113861;Canada;Quebec;Montreal;H2T 2J6;Female;College;0;Married;Star;Standard;2022;6
113864;Canada;Saskatchewan;Regina;S6J 3G0;Male;Bachelor;79913;Married;Star;Standard;2022;11
113874;Canada;Ontario;Toronto;M2M 7K8;Female;College;0;Single;Nova;2023 Promotion;2023;2
113877;Canada;Ontario;Toronto;P2T 6G3;Female;College;0;Single;Star;Standard;2018;12
113904;Canada;Ontario;Kingston;M9K 2P4;Female;Bachelor;63343;Married;Nova;Standard;2020;6
113919;Canada;Manitoba;Winnipeg;R6Y 4T5;Female;Bachelor;61482;Married;Aurora;Standard;2020;12
114018;Canada;Ontario;Toronto;M8Y 4K8;Male;Bachelor;78649;Married;Nova;Standard;2018;6
114021;Canada;British Columbia;Dawson Creek;U5I 4F1;Female;Bachelor;88044;Married;Star;Standard;2019;9
114131;Canada;British Columbia;Dawson Creek;U5I 4F1;Male;Bachelor;80516;Married;Nova;2023 Promotion;2023;4
114219;Canada;Ontario;Thunder Bay;K8T 5M5;Female;Bachelor;72888;Married;Nova;Standard;2017;7
892022;Canada;Newfoundland;St. John's;A1C 6H9;Female;College;0;Divorced;Star;Standard;2018;7
114307;Canada;Ontario;Toronto;P2T 6G3;Male;Bachelor;104829;Married;Nova;Standard;2018;3
114399;Canada;British Columbia;Vancouver;V6E 3D9;Female;College;0;Single;Star;Standard;2023;6
114414;Canada;Ontario;Toronto;P1J 8T7;Male;College;0;Married;Nova;Standard;2017;11
114493;Canada;Ontario;Toronto;P5S 6R4;Female;Bachelor;47036;Single;Aurora;Standard;2021;4
114553;Canada;British Columbia;Dawson Creek;U5I 4F1;Male;Bachelor;47987;Divorced;Nova;Standard;2017;6
114638;Canada;Quebec;Quebec City;G1B 3L5;Male;College;0;Single;Star;Standard;2017;12
114700;Canada;British Columbia;Vancouver;V5R 1W3;Female;Doctor;134476;Married;Star;Standard;2022;12
114743;Canada;New Brunswick;Fredericton;E3B 2H2;Male;Bachelor;59753;Married;Star;Standard;2022;7
114835;Canada;Ontario;Toronto;M1R 4K3;Female;Master;101354;Divorced;Star;Standard;2022;7
114857;Canada;British Columbia;Dawson Creek;U5I 4F1;Female;Bachelor;57148;Married;Nova;Standard;2022;3
114903;Canada;British Columbia;Vancouver;V5R 1W3;Male;Bachelor;58414;Married;Nova;Standard;2018;10
114927;Canada;British Columbia;Whistler;V6T 1Y8;Male;Doctor;190674;Divorced;Star;Standard;2022;4
114983;Canada;British Columbia;Whistler;V6T 1Y8;Female;Doctor;71198;Married;Star;Standard;2018;10
115198;Canada;Yukon;Whitehorse;Y2K 6R0;Male;Bachelor;55845;Married;Star;Standard;2017;9
115322;Canada;Ontario;Toronto;P1W 1K4;Female;Doctor;221857;Married;Aurora;Standard;2018;11
